,NAME,Total
0,"Atlanta-Sandy Springs-Marietta, GA",85713.0
1,"Austin-Round Rock, TX",5559.0
2,"Austin-Round Rock-San Marcos, TX",17056.0
3,"Bakersfield, CA",3076.0
4,"Baltimore-Towson, MD",32653.0
5,"Boston-Cambridge-Quincy, MA-NH",100739.0
6,"Bridgeport-Stamford-Norwalk, CT",18617.0
7,"Buffalo-Niagara Falls, NY",2922.0
8,"Charlotte-Gastonia-Concord, NC-SC",4712.0
9,"Charlotte-Gastonia-Rock Hill, NC-SC",14294.0
10,"Chicago-Joliet-Naperville, IL-IN-WI",103077.0
11,"Chicago-Naperville-Joliet, IL-IN-WI",37857.0
12,"Cincinnati-Middletown, OH-KY-IN",2699.0
13,"Cleveland-Elyria-Mentor, OH",11741.0
14,"Columbus, OH",20088.0
15,"Dallas-Fort Worth-Arlington, TX",109999.0
16,"Denver-Aurora-Broomfield, CO",34202.0
17,"Detroit-Warren-Livonia, MI",48388.0
18,"El Paso, TX",20001.0
19,"Fresno, CA",12255.0
20,"Hartford-West Hartford-East Hartford, CT",15791.0
21,"Honolulu, HI",20364.0
22,"Houston-Sugar Land-Baytown, TX",124409.0
23,"Indianapolis-Carmel, IN",15555.0
24,"Jacksonville, FL",13603.0
25,"Kansas City, MO-KS",15922.0
26,"Las Vegas-Paradise, NV",36199.0
27,"Los Angeles-Long Beach-Santa Ana, CA",349246.0
28,"McAllen-Edinburg-Mission, TX",10034.0
29,"Miami-Fort Lauderdale-Pompano Beach, FL",288641.0
30,"Milwaukee-Waukesha-West Allis, WI",2789.0
31,"Minneapolis-St. Paul-Bloomington, MN-WI",45520.0
32,"Nashville-Davidson--Murfreesboro--Franklin, TN",16502.0
33,"New York-Northern New Jersey-Long Island, NY-NJ-PA",725939.0
34,"Orlando-Kissimmee, FL",11190.0
35,"Orlando-Kissimmee-Sanford, FL",30605.0
36,"Oxnard-Thousand Oaks-Ventura, CA",12262.0
37,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",72542.0
38,"Phoenix-Mesa-Glendale, AZ",38869.0
39,"Phoenix-Mesa-Scottsdale, AZ",14085.0
40,"Portland-Vancouver-Beaverton, OR-WA",7682.0
41,"Portland-Vancouver-Hillsboro, OR-WA",19131.0
42,"Providence-New Bedford-Fall River, RI-MA",19080.0
43,"Raleigh-Cary, NC",15175.0
44,"Riverside-San Bernardino-Ontario, CA",60869.0
45,"Sacramento--Arden-Arcade--Roseville, CA",33150.0
46,"Salt Lake City, UT",15920.0
47,"San Antonio, TX",4825.0
48,"San Antonio-New Braunfels, TX",15619.0
49,"San Diego-Carlsbad-San Marcos, CA",79955.0
50,"San Francisco-Oakland-Fremont, CA",124016.0
51,"San Jose-Sunnyvale-Santa Clara, CA",71768.0
52,"San Juan-Caguas-Guaynabo, PR",13181.0
53,"Seattle-Tacoma-Bellevue, WA",71730.0
54,"St. Louis, MO-IL",13800.0
55,"Stockton, CA",11838.0
56,"Tampa-St. Petersburg-Clearwater, FL",36059.0
57,"Tucson, AZ",12305.0
58,"Virginia Beach-Norfolk-Newport News, VA-NC",2629.0
59,"Washington-Arlington-Alexandria, DC-VA-MD-WV",159228.0
60,"Worcester, MA",12596.0
